slot,max_bid,max_bid_relay,mev_reward,mev_reward_relay,proposer_index,is_rocketpool,node_address,in_smoothing_pool,correct_fee_recipient,priority_fees,avg_fee,eth_collat_ratio,is_vanilla,reth_portion,proxy_max_bid
6018674,,,,,527201.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.039926284976669155,0.15,2.0,True,0.425,0.1862364671888156
6018885,,,,,260942.0,True,0x45dd7696CAE748f82669c002721E46d41f94E2c4,True,True,0.05169857520458366,0.05,2.0,True,0.475,0.12874143853706052
6019733,,,,,545632.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.05137402609826379,0.15,2.0,True,0.425,0.17397371004646212
6019788,,,,,260625.0,True,0x72eD84c5232a8e0bF88aFF101dd9C3fE30fB1AF1,True,True,0.025466613320218188,0.09085007179220761,2.0,True,0.4545749641038962,0.11774174029563889
6025208,,,,,261669.0,True,0x42E36a7B30Aa8eA8bEC7B64170e40aeF20B00Bee,True,True,0.02704438397623315,0.1,2.0,True,0.45,0.054488308148901266
6025447,,,,,518610.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.011369491623610648,0.15,2.0,True,0.425,0.04802261727721766
6026969,,,,,544616.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.014549418807918506,0.15,2.0,True,0.425,0.03688860459137838
6028867,,,,,386524.0,True,0xB498446d6B701407fed1F34a1A7328df3Aa32308,True,True,0.0375725215682729,0.15,2.0,True,0.425,0.0453213572738152
6030555,,,,,441314.0,True,0x959D4caDcBBdE02bCCB0211Cf9a4551c8336dc7d,True,True,0.03406210709374045,0.15,2.0,True,0.425,0.03223433726756576
6031428,,,,,412827.0,True,0x75224e800636c3D397bADb4D7c544e09aDDd8E0A,False,True,0.007463802215693186,0.1375,2.0,True,0.43125,0.01813760088235024
6031874,,,,,329944.0,True,0x16A3a243D1910Ba2686294054F057A954BA0E705,False,True,0.007471618689399466,0.2,2.0,True,0.4,0.05012420462977043
6034244,,,,,547882.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.022275038293380497,0.15,2.0,True,0.425,0.057439739370353717
6035355,,,,,267724.0,True,0xA9c8550BffD4bD11c09da4a807dCC3B87C71B481,True,True,0.002710084031079421,0.15462843343373606,2.0,True,0.422685783283132,0.1525648833706015
6038977,,,,,460138.0,True,0xeA7126082a70c7DC463D2921D18e4658e52de4Ab,True,True,0.006711793668267318,0.15,2.0,True,0.425,0.06276332244299875
6039339,,,,,274285.0,True,0x62eC513d096BD5949951224c1AA842f74C638b4F,False,True,0.00450850405391329,0.13512771214337702,2.0,True,0.4324361439283115,0.04311629824638972
6039710,,,,,547876.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.012236907019829737,0.15,2.0,True,0.425,0.03621332814063818
6040262,,,,,332128.0,True,0x5280B7aD2aFF8872C4110A0EA2E919c616F55D19,True,True,0.019020732189330813,0.15714285714285714,2.0,True,0.42142857142857143,0.0603200933311235
6042994,,,,,525895.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.02784808690749835,0.15,2.0,True,0.425,0.1853093200663638
6049598,,,,,332128.0,True,0x5280B7aD2aFF8872C4110A0EA2E919c616F55D19,True,True,0.015945700048869547,0.15714285714285714,2.0,True,0.42142857142857143,0.09544776429702789
6050611,,,,,553568.0,True,0x6b05d9E6c41d18365a8B1e471939baed533BF18a,True,True,0.02734603598989749,0.12457664492276384,2.0,True,0.43771167753861806,0.06453779575061615
